Book Name,Rating,Price,Availability
Tipping the Velvet,One,$53.74,In stock
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Three,$29.69,In stock
A Flight of Arrows (The Pathfinders #2),Five,$55.53,In stock
The House by the Lake,One,$36.95,In stock
Mrs. Houdini,Five,$30.25,In stock
The Marriage of Opposites,Four,$28.08,In stock
Glory over Everything: Beyond The Kitchen House,Three,$45.84,In stock
"Love, Lies and Spies",Two,$20.55,In stock
A Paris Apartment,Four,$39.01,In stock
Lilac Girls,Two,$17.28,In stock
The Constant Princess (The Tudor Court #1),Three,$16.62,In stock
The Invention of Wings,One,$37.34,In stock
World Without End (The Pillars of the Earth #2),Four,$32.97,In stock
The Passion of Dolssa,Five,$28.32,In stock
Girl With a Pearl Earring,One,$26.77,In stock
Voyager (Outlander #3),Five,$21.07,In stock
The Red Tent,Five,$35.66,In stock
The Last Painting of Sara de Vos,Two,$55.55,In stock
The Guernsey Literary and Potato Peel Pie Society,One,$49.53,In stock
Girl in the Blue Coat,Two,$46.83,In stock
Between Shades of Gray,Five,$20.79,In stock
While You Were Mine,Five,$41.32,In stock
The Secret Healer,Three,$34.56,In stock
Starlark,Three,$25.83,In stock
Lost Among the Living,Four,$27.70,In stock
A Spy's Devotion (The Regency Spies of London #1),Five,$16.97,In stock
