Book Name,Rating,Price,Availability
Sharp Objects,Four,$47.82,In stock
"In a Dark, Dark Wood",One,$19.63,In stock
The Past Never Ends,Four,$56.50,In stock
A Murder in Time,One,$16.64,In stock
The Murder of Roger Ackroyd (Hercule Poirot #4),Four,$44.10,In stock
The Last Mile (Amos Decker #2),Two,$54.21,In stock
That Darkness (Gardiner and Renner #1),One,$13.92,In stock
Tastes Like Fear (DI Marnie Rome #3),One,$10.69,In stock
A Time of Torment (Charlie Parker #14),Five,$48.35,In stock
A Study in Scarlet (Sherlock Holmes #1),Two,$16.73,In stock
Poisonous (Max Revere Novels #3),Three,$26.80,In stock
Murder at the 42nd Street Library (Raymond Ambler #1),Four,$54.36,In stock
Most Wanted,Three,$35.28,In stock
Hide Away (Eve Duncan #20),One,$11.84,In stock
Boar Island (Anna Pigeon #19),Three,$59.48,In stock
The Widow,Two,$27.26,In stock
Playing with Fire,Three,$13.71,In stock
What Happened on Beale Street (Secrets of the South Mysteries #2),Five,$25.37,In stock
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Five,$52.30,In stock
Delivering the Truth (Quaker Midwife Mystery #1),Four,$20.89,In stock
The Mysterious Affair at Styles (Hercule Poirot #1),Four,$24.80,In stock
In the Woods (Dublin Murder Squad #1),Two,$38.38,In stock
The Silkworm (Cormoran Strike #2),Five,$23.05,In stock
The Exiled,Three,$43.45,In stock
The Cuckoo's Calling (Cormoran Strike #1),One,$19.21,In stock
Extreme Prey (Lucas Davenport #26),Three,$25.40,In stock
Career of Evil (Cormoran Strike #3),Two,$24.72,In stock
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),Four,$57.70,In stock
The Girl You Lost,Five,$12.29,In stock
The Girl In The Ice (DCI Erika Foster #1),Three,$15.85,In stock
